date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:00	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
21:07:02	31232/31232	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2001:26:57%20GMT	https://preview.colorlib.com/theme/magdesign/	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/index.html	(from )
21:07:02	79820/79820	---M-Z	200	added ('OK')	text/css	etag:%22137cc-5b99baaa4ae69-gzip%22	https://preview.colorlib.com/theme/magdesign/fonts/icomoon/style.css	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/fonts/icomoon/style.css	(from https://preview.colorlib.com/theme/magdesign/)
21:07:03	1259/1259	---M-Z	200	added ('OK')	text/css	etag:%224eb-5b99bed5e73de-gzip%22	https://preview.colorlib.com/theme/magdesign/fonts/flaticon/font/flaticon.css	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/fonts/flaticon/font/flaticon.css	(from https://preview.colorlib.com/theme/magdesign/)
21:07:04	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c21d052e7997-gzip%22	https://preview.colorlib.com/theme/magdesign/css/tiny-slider.css	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/css/tiny-slider.css	(from https://preview.colorlib.com/theme/magdesign/)
21:07:06	8815/8815	---M-Z	200	added ('OK')	text/css	etag:%22226f-5c1f9d6efe5f1-gzip%22	https://preview.colorlib.com/theme/magdesign/css/glightbox.min.css	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/css/glightbox.min.css	(from https://preview.colorlib.com/theme/magdesign/)
21:07:06	5860/5860	---M-Z	200	added ('OK')	text/css	etag:%2216e4-5c1f9d6efd652-gzip%22	https://preview.colorlib.com/theme/magdesign/css/aos.css	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/css/aos.css	(from https://preview.colorlib.com/theme/magdesign/)
21:07:07	54930/54930	---M-Z	200	added ('OK')	text/css	etag:%22d692-5c1f9d6efe5f1-gzip%22	https://preview.colorlib.com/theme/magdesign/css/style.css	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/css/style.css	(from https://preview.colorlib.com/theme/magdesign/)
21:07:07	31232/31232	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2001:26:57%20GMT	https://preview.colorlib.com/theme/magdesign/index.html	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/index-2.html	(from https://preview.colorlib.com/theme/magdesign/)
21:07:08	9670/9670	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2001:27:00%20GMT	https://preview.colorlib.com/theme/magdesign/categories.html	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/categories.html	(from https://preview.colorlib.com/theme/magdesign/)
21:07:08	13394/13394	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2001:26:57%20GMT	https://preview.colorlib.com/theme/magdesign/single.html	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/single.html	(from https://preview.colorlib.com/theme/magdesign/)
21:07:11	10090/10090	---M--	200	added ('OK')	image/jpeg	etag:%22276a-5b99b72f10c78%22	https://preview.colorlib.com/theme/magdesign/images/person_1.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/person_1.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:11	175788/175788	---M--	200	added ('OK')	image/jpeg	etag:%222aeac-5b99b726e6f39%22	https://preview.colorlib.com/theme/magdesign/images/post_lg_1.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/post_lg_1.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:14	186888/186888	---M--	200	added ('OK')	image/jpeg	etag:%222da08-5b99b7221689f%22	https://preview.colorlib.com/theme/magdesign/images/post_lg_2.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/post_lg_2.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:15	166606/166606	---M--	200	added ('OK')	image/jpeg	etag:%2228ace-5b99b725b3562%22	https://preview.colorlib.com/theme/magdesign/images/post_lg_3.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/post_lg_3.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:15	199243/199243	---M--	200	added ('OK')	image/jpeg	etag:%2230a4b-5b99b71f53834%22	https://preview.colorlib.com/theme/magdesign/images/post_lg_4.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/post_lg_4.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:16	274696/274696	---M--	200	added ('OK')	image/jpeg	etag:%2243108-5b99b720d4469%22	https://preview.colorlib.com/theme/magdesign/images/img_2.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/img_2.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:17	289461/289461	---M--	200	added ('OK')	image/jpeg	etag:%2246ab5-5b99b728a53cb%22	https://preview.colorlib.com/theme/magdesign/images/img_4.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/img_4.jpg	(from https://preview.colorlib.com/theme/magdesign/)
21:07:18	335869/335869	---M--	200	added ('OK')	image/jpeg	etag:%2251ffd-5b99b7237ee34%22	https://preview.colorlib.com/theme/magdesign/images/img_3.jpg	C:/Users/DeXent%20Arslan/OneDrive/Desktop/HTtrack/blogger/blogger/preview.colorlib.com/theme/magdesign/images/img_3.jpg	(from https://preview.colorlib.com/theme/magdesign/)
